text,label
PlayerA = dead,PlayerA
sighs = PlayerA,PlayerA
<<<PlayerA,PlayerA
PlayerA on hermiyone for vindi - died at the end,PlayerA
PlayerA on estyra,PlayerA
PlayerA on inyaga,PlayerA
LOGS PlayerA dead,PlayerA
PlayerA on PlayerB (zoned for fac),PlayerA
add me to log PlayerA,PlayerA
PlayerA on VS raceline,PlayerA
"please add PlayerA for logs, recovery / ports in tov",PlayerA
<--- PlayerA,PlayerA
PlayerA - was setting up a macro sry dude,PlayerA
PlayerA for logs,PlayerA
PlayerA vox tracker,PlayerA
PlayerA on Xovydal,PlayerA
PlayerA on Mymoms,PlayerA
Noif = PlayerA,PlayerA
PlayerA ty,PlayerA
PlayerA on this toon,PlayerA
<-- PlayerA for logs plz,PlayerA
PlayerA for logsd,PlayerA
PlayerA tracking lep,PlayerA
PlayerA on bagtheera,PlayerA
PlayerA (tracked MOTG),PlayerA
PlayerA here tracking VS,PlayerA
PlayerA tracker at trak,PlayerA
"PlayerA, was PlayerB",PlayerB
PlayerA on verbier,PlayerA
PlayerA gated already,PlayerA
PlayerA helping with tov cr,PlayerA
PlayerA here pls,PlayerA
PlayerA-dead,PlayerA
PlayerA for the fear golems,PlayerA
PlayerA on Sowr,PlayerA
PlayerA helping get ppl over,PlayerA
PlayerA TL'd out,PlayerA
PlayerA - porting outa fear,PlayerA
PlayerA - in case missed,PlayerA
swap PlayerA,PlayerA
PlayerA on sighs,PlayerA
"add PlayerA, I swapped back after concede",PlayerA
"PlayerA here, in the middle of recruiting, please add to logs.",PlayerA
was there on PlayerA ~,PlayerA
"""+PlayerA=Estyra""",PlayerA
"+PlayerA, dead",PlayerA
PlayerA tried to swap for PlayerB tag=/,PlayerB
outside sowing,DEFAULT_SENDER
you take mini logs? PlayerA on Cao for minis,PlayerA
PlayerA = dead,PlayerA
Roobi ihere,NAME_TYPO_AT_WORD_1
this is larc,NAME_TYPO_AT_WORD_3
tangpmike was there for vaniki and vilefang,NAME_TYPO_AT_WORD_1
mishmash on Halloe,NAME_TYPO_AT_WORD_1
###,NAME_TYPO_AT_WORD_2
###,NAME_TYPO_AT_WORD_3
###,NAME_TYPO_AT_WORD_4
###,NAME_TYPO_AT_WORD_5
###,NAME_TYPO_AT_WORD_6
###,NAME_TYPO_AT_WORD_7
###,NAME_TYPO_AT_WORD_8
###,NAME_TYPO_AT_WORD_9
###,NAME_TYPO_AT_WORD_10
###,NAME_TYPO_AT_WORD_11
###,NAME_TYPO_AT_WORD_12
###,NAME_TYPO_AT_WORD_13
###,NAME_TYPO_AT_WORD_14
###,NAME_TYPO_AT_WORD_15
###,NAME_TYPO_AT_WORD_16
###,NAME_TYPO_AT_WORD_17
###,NAME_TYPO_AT_WORD_18
###,NAME_TYPO_AT_WORD_19
###,NAME_TYPO_AT_WORD_20
PlayerA on PlayerB,PlayerA
PlayerA,PlayerA
this is PlayerA,PlayerA
PlayerA on VS raceline,PlayerA
"please add PlayerA for logs, recovery / ports in tov",PlayerA
<--- PlayerA,PlayerA
/q'd out just got back in,DEFAULT_SENDER
PlayerA SoW outside,PlayerA
Stayed at Seb,DEFAULT_SENDER
PlayerA - was setting up a macro sry dude,PlayerA
PlayerA for logs,PlayerA
PlayerA on PlayerB,PlayerA
sowing,DEFAULT_SENDER
PlayerA vox tracker,PlayerA
PlayerA on Xovydal,PlayerA
PlayerA on Mymoms,PlayerA
"add please, dead",DEFAULT_SENDER
PlayerA = PlayerB,PlayerA
PlayerA ty,PlayerA
PlayerA on this toon,PlayerA
"""+PlayerA""",PlayerA
<-- PlayerA for logs plz,PlayerA
PlayerA ihere,PlayerA
PlayerA for logsd,PlayerA
< PlayerA,PlayerA
PlayerA tracking lep,PlayerA
PlayerA on bagtheera,PlayerA
PlayerA (tracked MOTG),PlayerA
PlayerA here tracking VS,PlayerA
PlayerA tracker at trak,PlayerA
"PlayerA, was PlayerB",PlayerA
PlayerA on verbier,PlayerA
PlayerA gated already,PlayerA
/zoning back in,DEFAULT_SENDER
doing tov recovery,DEFAULT_SENDER
PlayerA helping with tov cr,PlayerA
porting more over still,DEFAULT_SENDER
still recovering folks in TOV - LOGS,DEFAULT_SENDER
PlayerA here pls,PlayerA
PlayerA-dead,PlayerA
dead if ya can add me,DEFAULT_SENDER
PlayerA for the fear golems,PlayerA
PlayerA dead,PlayerA
I was zoning in from the recovery effort in ToV if that counts,DEFAULT_SENDER
PlayerA on Niney,PlayerA
PlayerA on Sowr,PlayerA
PlayerA helping get ppl over,PlayerA
dead,DEFAULT_SENDER
doh JUST Tld out,DEFAULT_SENDER
PlayerA TL'd out,PlayerA
gated out of DL already,DEFAULT_SENDER
was PlayerA out of fear during gore kill,PlayerA
PlayerA - porting outa fear,PlayerA
is this for Fear? Already gated out,DEFAULT_SENDER
stuck in kael waiting for pickup for gore,DEFAULT_SENDER
PlayerA - in case missed,PlayerA
swap PlayerA,PlayerA
PlayerA on sighs,PlayerA
"add PlayerA, I swapped back after concede",PlayerA
got ported out 10 seconds ago,DEFAULT_SENDER
"PlayerA here, in the middle of recruiting, please add to logs.",PlayerA
was there on PlayerA ~,PlayerA
portin folks to CS,DEFAULT_SENDER
PlayerA / PlayerB,PlayerB
mishmash on Halloe,DEFAULT_SENDER
add to log pls - cothed to death,DEFAULT_SENDER
add me if im not there. maybe missing 'cause i /q,DEFAULT_SENDER
"i didnt see your logs, gated at 1&PCT; might have missed it",DEFAULT_SENDER
PlayerA was there for vaniki and vilefang,PlayerA
"""+PlayerA=Estyra""",PlayerA
"""=PlayerA""",PlayerA
"+PlayerA, dead",PlayerA
was porting,DEFAULT_SENDER
ducked out to miss faction hit,DEFAULT_SENDER
PlayerA tried to swap for PlayerB tag=/,PlayerA
spot please,NORMAL_CHAT
just swapped,DEFAULT_SENDER
outside sowing,DEFAULT_SENDER
okie doke,NORMAL_CHAT
ofc,NORMAL_CHAT
haha ad me in deaded,DEFAULT_SENDER
you take mini logs? PlayerA on Cao for minis,PlayerA
PlayerA -> PlayerB,PlayerB
PlayerA->PlayerB,PlayerB
PlayerA --> PlayerB,PlayerB
PlayerA--->PlayerB,PlayerB
PlayerA   --> PlayerB,PlayerB
GG,NORMAL_CHAT
GLHF,NORMAL_CHAT
WP,NORMAL_CHAT
AFK,NORMAL_CHAT
BRB,NORMAL_CHAT
LOL,NORMAL_CHAT
ROFL,NORMAL_CHAT
OMW,NORMAL_CHAT
REKT,NORMAL_CHAT
CLUTCH,NORMAL_CHAT
THICC,NORMAL_CHAT
SHEESH,NORMAL_CHAT
POG,NORMAL_CHAT
POGGERS,NORMAL_CHAT
SUS,NORMAL_CHAT
SMH,NORMAL_CHAT
YOLO,NORMAL_CHAT
SMURF,NORMAL_CHAT
NOOB,NORMAL_CHAT
PRO,NORMAL_CHAT
OP,NORMAL_CHAT
NERF,NORMAL_CHAT
BUFF,NORMAL_CHAT
GRIND,NORMAL_CHAT
CAMPER,NORMAL_CHAT
LEEROOY,NORMAL_CHAT
PEWPEW,NORMAL_CHAT
GGWP,NORMAL_CHAT
EZ,NORMAL_CHAT
NT,NORMAL_CHAT
PWND,NORMAL_CHAT
LAG,NORMAL_CHAT
CRINGE,NORMAL_CHAT
FLEX,NORMAL_CHAT
TILT,NORMAL_CHAT
BOOP,NORMAL_CHAT
YEET,NORMAL_CHAT
ZOOMIES,NORMAL_CHAT
invis?,NORMAL_CHAT
there we go,NORMAL_CHAT
weird,NORMAL_CHAT
yw,NORMAL_CHAT
im sry mate,NORMAL_CHAT
:D,NORMAL_CHAT
mt,NORMAL_CHAT
awesome!,NORMAL_CHAT
thanks,NORMAL_CHAT
cool,NORMAL_CHAT
crap,NORMAL_CHAT
tyty,NORMAL_CHAT
consent,NORMAL_CHAT
DMF Inc,NORMAL_CHAT
raiding?,NORMAL_CHAT
im clean  just died,DEFAULT_SENDER
aego pls,NORMAL_CHAT
inc,NORMAL_CHAT
yes ty,NORMAL_CHAT
ty,NORMAL_CHAT
YUP,NORMAL_CHAT
Yessir,NORMAL_CHAT
yes pls,NORMAL_CHAT
but yeah,NORMAL_CHAT
symbol pls,NORMAL_CHAT
Symbol pls,NORMAL_CHAT
yep,NORMAL_CHAT
inc,NORMAL_CHAT
ty!,NORMAL_CHAT
Yeah,NORMAL_CHAT
heal pls,NORMAL_CHAT
thanks!,NORMAL_CHAT
symbol plz .,NORMAL_CHAT
please =),NORMAL_CHAT
hero,NORMAL_CHAT
hero plz,NORMAL_CHAT
cure plz,NORMAL_CHAT
tyty,NORMAL_CHAT
thank you ,NORMAL_CHAT
where you at,NORMAL_CHAT
inc,NORMAL_CHAT
aego pls,NORMAL_CHAT
on it,NORMAL_CHAT
inc,NORMAL_CHAT
sure,NORMAL_CHAT
bard,NORMAL_CHAT
full,NORMAL_CHAT
join,NORMAL_CHAT
= ),NORMAL_CHAT
kewl,NORMAL_CHAT
brt,NORMAL_CHAT
:),NORMAL_CHAT
just rezzed,NORMAL_CHAT
cancel that,NORMAL_CHAT
thx,NORMAL_CHAT
Sure can,NORMAL_CHAT
inc,NORMAL_CHAT
symbol plz,NORMAL_CHAT
ty <3,NORMAL_CHAT
ah i see,NORMAL_CHAT
haha,NORMAL_CHAT
np,NORMAL_CHAT
ya,NORMAL_CHAT
tyvm,NORMAL_CHAT
kk thx,NORMAL_CHAT
oh sure,NORMAL_CHAT
woohoo!!!,NORMAL_CHAT
<3,NORMAL_CHAT
good now,NORMAL_CHAT
u here?,NORMAL_CHAT
yup,NORMAL_CHAT
1 sec,NORMAL_CHAT
welcome,NORMAL_CHAT
nah,NORMAL_CHAT
no,NORMAL_CHAT
ty,NORMAL_CHAT
thank you,NORMAL_CHAT
done,NORMAL_CHAT
thanks alot,NORMAL_CHAT
apprecfiate,NORMAL_CHAT
ty,NORMAL_CHAT
Sorry,NORMAL_CHAT
good morning,NORMAL_CHAT
omw,NORMAL_CHAT
no,NORMAL_CHAT
tty,NORMAL_CHAT
rezz plz,NORMAL_CHAT
consented,NORMAL_CHAT
lol ,NORMAL_CHAT
nah,NORMAL_CHAT
Yaaaay,NORMAL_CHAT
yo,NORMAL_CHAT
I may have been dead [...] took,DEFAULT_SENDER
add me place [...] vindi,DEFAULT_SENDER
I'm in pog tree [...] killed me,DEFAULT_SENDER
ooof did I miss it T.T,DEFAULT_SENDER
tracking E,DEFAULT_SENDER
died,DEFAULT_SENDER
dead from pull,DEFAULT_SENDER
i died,DEFAULT_SENDER
Died at vindi.,DEFAULT_SENDER
Getting SoW outside,DEFAULT_SENDER
invis?,NORMAL_CHAT
cant target you,NORMAL_CHAT
there we go,NORMAL_CHAT
weird,NORMAL_CHAT
ty <3,NORMAL_CHAT
hello,NORMAL_CHAT
kael rte,DEFAULT_SENDER
kael fte,DEFAULT_SENDER
sleeper rte,DEFAULT_SENDER
sleeper fte,DEFAULT_SENDER
zlandi fte,DEFAULT_SENDER
zlandi coth,DEFAULT_SENDER
zlandi rte,DEFAULT_SENDER
fear track,DEFAULT_SENDER
fear fte,DEFAULT_SENDER
PlayerA racing,PlayerA
rte in,DEFAULT_SENDER
fte in,DEFAULT_SENDER
racing in,DEFAULT_SENDER
doin pickups all over the place,DEFAULT_SENDER
doing fear recovery,DEFAULT_SENDER
doin pickups,DEFAULT_SENDER
larc still doing cr,NAME_TYPO_AT_WORD_1
got a stack of dots,NORMAL_CHAT
zoned wiz - LOGS,DEFAULT_SENDER
